Отметка времени,"Как вы считаете, какой у вас уровень тревожности? ",Какие вы знаете способы помощи себе при возникновении тревожности?,"Как часто вы не можете понять, какие эмоции испытываете по отношению к ситуации?",Как часто Вы испытываете тревогу?,"Назовите 5 эмоций, которые вы испытывали за последнюю неделю?","Умеете ли вы контролировать свои эмоции?","Как часто вы можете распознавать эмоции близких людей?","Как часто за последние две недели Вы испытывали страх, что должно произойти что-то плохое?","За последний месяц по каким причинам вы испытывали тревожность/волнение?", "Что больше всего вызывает у вас беспокойство в учебном процессе?","Я замечаю, когда близкий человек переживает, даже если он (она) пытается это скрыть","Если человек на меня обижается, я не знаю, как восстановить с ним хорошие отношения","Мне легко догадаться о чувствах человека по выражению его лица","Я хорошо знаю, чем заняться, чтобы улучшить себе настроение","У меня обычно не получается повлиять на эмоциональное состояние своего собеседника","Когда я раздражаюсь, то не могу сдержаться, и говорю всё, что думаю","Я хорошо понимаю, почему мне нравятся или не нравятся те или иные люди","Я не сразу замечаю, когда начинаю злиться","Я умею улучшить настроение окружающих","Если я увлекаюсь разговором, то говорю слишком громко и активно жестикулирую","Я понимаю душевное состояние некоторых людей без слов","В экстремальной ситуации я не могу усилием воли взять себя в руки","Я легко понимаю мимику и жесты других людей","Когда я злюсь, я знаю, почему","Я знаю, как ободрить человека, находящегося в тяжелой ситуации","Окружающие считают меня слишком эмоциональным человеком","Я способен успокоить близких, когда они находятся в напряжённом состоянии","Мне бывает трудно описать, что я чувствую по отношению к другим","Если я смущаюсь при общении с незнакомыми людьми, то могу это скрыть","Глядя на человека, я легко могу понять его эмоциональное состояние","Я контролирую выражение чувств на своем лице","Бывает, что я не понимаю, почему испытываю то или иное чувство","В критических ситуациях я умею контролировать выражение своих эмоций","Если надо, я могу разозлить человека","Когда я испытываю положительные эмоции, я знаю, как поддержать это состояние","Как правило, я понимаю, какую эмоцию испытываю","Если собеседник пытается скрыть свои эмоции, я сразу чувствую это","Я знаю как успокоиться, если я разозлился","Можно определить, что чувствует человек, просто прислушиваясь к звучанию его голоса","Я не умею управлять эмоциями других людей","Мне трудно отличить чувство вины от чувства стыда","Я умею точно угадывать, что чувствуют мои знакомые","Мне трудно справляться с плохим настроением","Если внимательно следить за выражением лица человека, то можно понять, какие эмоции он скрывает","Я не нахожу слов, чтобы описать свои чувства друзьям","Мне удаётся поддержать людей, которые делятся со мной своими переживаниями","Я умею контролировать свои эмоции","Если мой собеседник начинает раздражаться, я подчас замечаю это слишком поздно","По интонациям моего голоса легко догадаться о том, что я чувствую","Если близкий человек плачет, я теряюсь","Мне бывает весело или грустно без всякой причины","Мне трудно предвидеть смену настроения у окружающих меня людей","Я не умею преодолевать страх","Бывает, что я хочу поддержать человека, а он этого не чувствует, не понимает","У меня бывают чувства, которые я не могу точно определить","Я не понимаю, почему некоторые люди на меня обижаются",Баллы,Как часто вы испытываете тревогу?,"Как часто Вы не можете понять, какие эмоции испытываете по отношению к сит",,Межличностный эмоциональный интеллект,aнализ 1,Внутриличностный эмоциональный интеллект,aнализ 2,Понимание эмоций,aнализ 3,Управление эмоциями,aнализ 4,Общий уровень эмоционального интеллекта,aнализ 5
31.10.2024 10:15:18,2,"Отвлечение, дыхание квадратом, выпускание эмоций",2,3,"Радость, злость, грусть, стыд, интерес ",Нет,4,Несколько раз,"Недостаток времени, недостаток сил, проблемы с деньгами",Недостаток сил и времени,3,2,3,2,2,4,4,1,3,4,4,3,3,4,3,2,3,3,2,3,2,2,3,3,3,4,3,2,3,2,2,3,2,3,2,4,2,1,4,2,1,1,3,2,2,1,,3,,,63,Очень высокое значение,47,Среднее значение,64,Очень высокое значение,48,Высокое значение,112,Очень высокое значение
31.10.2024 11:02:06,3,"Дыхательные практики, релаксация, отвлечение",3,4,"Радость, злость, грусть, тревога, сострадание",Затрудняюсь ответить,4,Несколько раз,"Передивания по поводу будущего, из-за личных проблем, из-за учебы, из-за усталости, из-за недопониманий ","Экзамены, контрольные, опросы, строгие преподаватели, неточные требования, усталость от нагрузки ",3,3,3,2,3,2,2,2,2,3,3,2,2,3,2,2,3,3,1,2,2,3,2,2,3,2,2,3,2,3,2,2,3,3,2,3,3,1,3,3,2,3,3,2,3,3,,4,,,45,Среднее значение,42,Среднее значение,45,Среднее значение,44,Среднее значение,89,Среднее значение
31.10.2024 11:14:21,3,"Дыхательные упражнения, прикосновения к себе",3,4,"Радость, грусть, гнев, счастье, тревога",Да,5,Несколько раз,"Количество работы, взаимоотношения с друзьями ","Малое количество занятий сейчас, значит позже их будет чересчур много",4,2,3,4,2,3,2,2,4,2,4,1,4,3,3,4,3,3,3,3,3,3,4,4,3,3,4,4,3,2,2,4,2,3,2,4,4,1,4,3,3,2,1,4,4,3,,4,,,63,Очень высокое значение,53,Высокое значение,55,Очень высокое значение,61,Очень высокое значение,116,Очень высокое значение
31.10.2024 11:16:57,2,Дыхательные практики ,2,3,"Радость, гнев, грусть, ненависть, облегчение ",Да,4,Несколько раз,Из-за выступления на занятие и КОЛЛОКВИУМ,"Нет чёткого расписания и дат зачётов/экзаменов 
Непонятная неизвестность ",3,2,3,3,1,2,4,2,3,4,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,2,1,3,2,3,3,4,3,2,2,2,3,2,2,3,3,2,,3,,,59,Очень высокое значение,51,Высокое значение,54,Очень высокое значение,56,Очень высокое значение,110,Очень высокое значение
31.10.2024 11:18:20,3,"Техники КПТ (изменение отношения к тревоге), дыхательные и защемляющие техники ",3,5,"Радость, удовлетворение, злость, стыд, вина",Да,4,Несколько раз,По причине учебных и других дел (соотношение времени затраченного на учебу/жизнь),"Мысли о том, что успеваю/не успеваю делать",4,2,4,4,2,3,2,2,3,3,2,2,3,3,2,4,3,3,2,3,1,3,3,4,3,3,3,2,3,4,3,3,3,2,2,3,2,2,4,4,4,4,2,4,4,3,,5,,,49,Высокое значение,39,Среднее значение,45,Среднее значение,43,Среднее значение,88,Среднее значение
31.10.2024 11:19:57,3,"Дыхательные практики, таблетки вот у меня всегда с собой есть",1,1,"Тревога, страх, радость, грусть, интерес",Да,5,Несколько раз,"Зп, удаление коренных зубов, на работе много тревоги, на учёбу из-за пропусков",Пропуски,4,1,4,4,1,4,4,1,4,4,4,1,4,4,4,4,4,1,2,4,2,1,4,4,3,4,4,4,4,4,1,4,4,4,1,4,3,1,4,1,1,1,2,4,1,1,,1,,,74,Очень высокое значение,60,Очень высокое значение,78,Очень высокое значение,56,Очень высокое значение,134,Очень высокое значение
31.10.2024 11:20:48,2,"Поговорить с близкими, выписать свои эмоции, дыхательные практики ",2,4,"Радость, грусть, гнев, тревожность, спокойствие ",Да,4,Несколько раз,"Семья, учеба ","Дз, выступления, коллок",3,2,2,3,2,2,3,2,3,4,3,2,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,2,3,3,,4,,,50,Высокое значение,50,Высокое значение,47,Среднее значение,54,Очень высокое значение,101,Высокое значение
31.10.2024 11:24:03,1,"Тренировка, еда, сон",1,3,"Радость, нервозность, ожидание, любовь, скук",Да,5,Несколько раз,Дедлайн работы ,Дедлайн ,3,1,3,4,2,4,4,1,4,4,3,1,3,4,3,2,3,1,4,3,3,1,3,4,4,4,3,3,3,2,1,3,1,3,1,3,3,2,3,2,2,1,4,2,1,2,,3,,,62,Очень высокое значение,63,Очень высокое значение,66,Очень высокое значение,61,Очень высокое значение,127,Очень высокое значение
31.10.2024 11:31:49,2,"Дыхательная гимнастика, мелитация",3,4,"Радость, счастье, непонимание, страх, негодование",Затрудняюсь ответить,4,Несколько раз,"Работа, здоровье близких",Сессия,3,1,3,3,2,3,3,2,3,3,3,2,3,3,2,2,2,3,3,2,2,3,4,3,3,3,3,2,3,3,3,3,3,2,3,3,2,2,3,4,2,3,2,2,3,2,,4,,,51,Высокое значение,45,Среднее значение,48,Высокое значение,50,Высокое значение,98,Высокое значение
31.10.2024 11:41:55,2,"Дыхание квадратом, умыться, записать на листочек ",2,3,"Злость, обида, грусть, тоска, радость",Затрудняюсь ответить,4,Ниразу,Личные обстоятельства,Количество заданий и того что нужно выучить,4,2,4,4,2,1,4,2,4,4,3,1,3,3,3,2,3,2,3,3,2,2,3,3,3,4,3,3,3,3,2,3,2,2,1,3,3,2,3,1,3,2,2,1,2,2,,3,,,61,Очень высокое значение,57,Очень высокое значение,59,Очень высокое значение,61,Очень высокое значение,120,Очень высокое значение
